iter	Passed	Remaining
0	4	1270
1	6	979
2	8	881
3	12	895
4	15	895
5	18	913
6	21	890
7	23	847
8	25	834
9	28	820
10	30	794
11	32	790
12	35	776
13	37	763
14	39	758
15	42	745
16	43	731
17	45	720
18	48	714
19	50	711
20	52	703
21	55	695
22	56	686
23	58	677
24	60	669
25	63	664
26	65	658
27	68	668
28	70	661
29	72	655
30	74	645
31	76	640
32	79	642
33	83	652
34	86	653
35	88	652
36	91	647
37	93	643
38	95	639
39	97	635
40	100	631
41	102	627
42	104	623
43	106	618
44	108	614
45	110	610
46	112	606
47	115	605
48	117	603
49	120	600
50	122	596
51	124	592
52	126	588
53	128	584
54	130	583
55	132	578
56	136	579
57	137	575
58	139	571
59	141	567
60	143	563
61	145	560
62	147	555
63	149	551
64	151	548
65	153	544
66	155	540
67	158	540
68	160	536
69	162	533
70	164	530
71	166	527
72	169	526
73	171	523
74	173	519
75	175	516
76	177	513
77	179	510
78	181	508
79	183	505
80	186	503
81	188	501
82	190	498
83	192	495
84	194	492
85	197	490
86	198	487
87	201	484
88	203	482
89	205	479
90	207	477
91	209	474
92	211	471
93	213	468
94	215	465
95	217	463
96	219	460
97	221	457
98	223	454
99	225	451
100	227	448
101	229	445
102	231	443
103	233	440
104	236	438
105	238	436
106	241	435
107	243	433
108	246	431
109	249	430
110	251	427
111	254	426
112	257	426
113	260	425
114	262	423
115	265	420
116	268	419
117	270	416
118	272	414
119	274	412
120	277	409
121	279	407
122	281	405
123	283	402
124	286	400
125	288	398
126	290	395
127	292	393
128	294	390
129	296	388
130	299	386
131	303	386
132	306	384
133	309	382
134	314	384
135	317	382
136	321	382
137	325	381
138	328	380
139	331	378
140	334	377
141	336	374
142	338	372
143	341	370
144	343	367
145	346	365
146	349	363
147	351	360
148	354	359
149	356	356
150	358	354
151	361	352
152	363	349
153	366	347
154	369	345
155	371	343
156	374	341
157	376	338
158	379	336
159	382	334
160	384	331
161	386	329
162	389	327
163	391	324
164	395	323
165	397	320
166	401	319
167	404	317
168	406	315
169	408	312
170	411	310
171	413	307
172	415	305
173	417	302
174	420	300
175	422	297
176	424	294
177	426	292
178	428	289
179	430	287
180	433	284
181	435	282
182	437	279
183	439	277
184	441	274
185	443	271
186	445	269
187	447	266
188	449	264
189	451	261
190	454	259
191	456	256
192	458	254
193	460	251
194	462	249
195	464	246
196	467	244
197	469	241
198	471	239
199	474	237
200	476	234
201	478	232
202	480	229
203	482	227
204	484	224
205	486	222
206	489	219
207	491	217
208	493	214
209	496	212
210	498	210
211	500	207
212	502	205
213	504	202
214	506	200
215	509	197
216	511	195
217	513	193
218	515	190
219	517	188
220	519	185
221	521	183
222	524	181
223	526	178
224	529	176
225	532	174
226	534	171
227	536	169
228	538	166
229	540	164
230	542	162
231	544	159
232	547	157
233	549	154
234	551	152
235	554	150
236	557	148
237	560	145
238	564	143
239	566	141
240	568	139
241	570	136
242	572	134
243	574	131
244	576	129
245	578	127
246	580	124
247	583	122
248	585	119
249	587	117
250	589	115
251	592	112
252	594	110
253	596	107
254	598	105
255	600	103
256	602	100
257	604	98
258	606	96
259	608	93
260	611	91
261	613	89
262	615	86
263	618	84
264	620	81
265	623	79
266	625	77
267	627	74
268	629	72
269	631	70
270	633	67
271	636	65
272	638	63
273	640	60
274	642	58
275	644	56
276	646	53
277	648	51
278	650	48
279	652	46
280	654	44
281	657	41
282	659	39
283	661	37
284	663	34
285	665	32
286	668	30
287	671	27
288	673	25
289	675	23
290	677	20
291	678	18
292	680	16
293	682	13
294	684	11
295	687	9
296	689	6
297	692	4
298	694	2
299	696	0
